title,desc,year,created_at,cast
Animals United,Public-key,1965,2020-04-14T13:11:03.000Z,Lena Duetschens
"Dispatch from Reuter's, A",Reduced,1996,2020-05-04T22:00:35.000Z,Andrej Peake
Pawn,neutral,1964,2020-05-29T22:51:47.000Z,Raymond Claessens
"Monk and the Fish, The (Le moine et le poisson)",Mandatory,1995,2020-05-10T11:24:44.000Z,Angele Berget
Nashville,24 hour,1903,2020-05-28T21:26:20.000Z,Sal Tal
Jönssonligan & den svarta diamanten,groupware,1903,2020-04-27T11:32:06.000Z,Vina Alflatt
Where in the World Is Osama Bin Laden?,website,1958,2020-04-30T08:15:35.000Z,Emlyn Axcell
Blithe Spirit,Horizontal,1943,2020-05-29T20:32:47.000Z,Raul Harrild
"Crime of Monsieur Lange, The (Le crime de Monsieur Lange)",alliance,2017,2020-04-29T13:21:41.000Z,Lucy Parton
G@me,methodical,1953,2020-04-12T00:45:40.000Z,Lyndsay Malecky
Dark Tide,data-warehouse,1993,2020-04-10T23:41:45.000Z,Samuel Wisden
Not Forgotten,content-based,1995,2020-04-08T07:41:36.000Z,Merle Gosker
"Hen, his wife",Right-sized,1917,2020-05-07T10:53:20.000Z,Brigid Whaley
Heart of a Dog (Sobachye serdtse),dedicated,1917,2020-04-05T04:02:23.000Z,Maddy Filmer
First Daughter,cohesive,1931,2020-04-12T16:40:57.000Z,Gus Le Noury
Devdas,implementation,1985,2020-04-11T19:29:03.000Z,Maurene Riggs
The Adventures of Hercules,4th generation,1898,2020-04-29T09:19:31.000Z,Juditha Eckert
First Cousin Once Removed,matrix,2013,2020-05-06T13:13:36.000Z,Michelina Guihen
Private Parts,methodology,1896,2020-05-17T02:43:59.000Z,Chickie Blethyn
Ghosts... of the Civil Dead,Robust,2000,2020-04-11T18:41:55.000Z,Yuri Christoffels
Convoy,logistical,1911,2020-04-01T21:34:48.000Z,Krissie Ilewicz
Human Planet,Diverse,2007,2020-05-18T04:03:52.000Z,Letitia Aumerle
"Bourne Identity, The",productivity,2002,2020-04-11T22:31:00.000Z,Amitie Pulman
"Terror Within, The",modular,1991,2020-04-26T18:26:30.000Z,Gertruda Espinazo
All About Lola (Ce que je sais de Lola) (Lo que sé de Lola),orchestration,1990,2020-05-15T09:51:41.000Z,Melanie Gallaway
Limit (Limite),Programmable,1906,2020-05-19T01:00:19.000Z,Holli Rosenbloom
Hellraiser: Deader,exuding,1969,2020-05-01T12:26:01.000Z,Estele Launder
Guest of Cindy Sherman,Synchronised,1945,2020-04-27T10:40:45.000Z,Newton Jager
Miranda,dedicated,1919,2020-05-18T07:27:31.000Z,Kat Daddow
I Do: How to Get Married and Stay Single (Prête-moi ta main),Graphical User Interface,1901,2020-05-22T23:07:51.000Z,Lenette Horstead
Prospero's Books,Inverse,1952,2020-05-23T17:37:56.000Z,Lee Stroton
Playing for Time,product,2008,2020-05-10T17:02:32.000Z,Anthony Wennington
"Tiger Brigades, The (Les brigades du Tigre)",Configurable,1995,2020-04-12T15:25:20.000Z,Todd Sissot
Stalingrad,system-worthy,1925,2020-05-30T02:28:22.000Z,Omero Egdal
The New Babylon,radical,1994,2020-04-05T06:14:37.000Z,Ingeberg Martynikhin
Sense and Sensibility,superstructure,1968,2020-05-21T05:28:39.000Z,Eddie Clausius
Jenny,application,1912,2020-05-24T05:20:22.000Z,Shaughn Schapiro
No Way Home,open architecture,1981,2020-04-13T15:47:56.000Z,Alexa Pidon
Princess Tam-Tam (Princesse Tam-Tam),Business-focused,1975,2020-05-08T02:23:50.000Z,Birgitta Dowell
Entre ses mains,Programmable,2007,2020-05-25T10:53:11.000Z,Johna Guillard
Beer,upward-trending,2014,2020-04-02T02:47:50.000Z,Kamilah Edgcumbe
Elena,frame,2011,2020-04-14T18:59:26.000Z,Wilmer Truswell
Passage to Marseille,Organic,1970,2020-04-23T03:06:47.000Z,Bret Thirlaway
Family Resemblances (Un air de famille),standardization,1911,2020-05-13T23:08:18.000Z,Duffy Steeden
Australian Atomic Confessions,capacity,1907,2020-04-29T05:31:23.000Z,Cazzie Geffcock
Shivers (They Came from Within),bi-directional,1942,2020-05-03T16:55:40.000Z,Myriam Lukasen
Training Day,Persistent,1976,2020-05-10T15:21:39.000Z,Court Kighly
Angel on My Shoulder,interactive,1896,2020-04-06T10:17:11.000Z,Donny Jobson
When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki),moratorium,1920,2020-04-16T13:23:55.000Z,Rosalynd Abramovitch
Next of Kin,Optional,1934,2020-04-06T12:05:15.000Z,Valma Woollcott
Everyone Says I Love You,info-mediaries,1931,2020-05-26T21:49:34.000Z,Korry Kield
Bruiser,optimal,1936,2020-04-21T01:48:00.000Z,Demetrius McGarrahan
Radio On,help-desk,1992,2020-05-10T04:08:36.000Z,Klarrisa Arnau
Three of Hearts,real-time,1955,2020-05-23T17:28:54.000Z,Kevyn Grunbaum
Captain America: The Winter Soldier,access,1995,2020-04-17T17:55:17.000Z,Brina Bullent
"Guilt Trip, The",optimal,1985,2020-05-02T23:08:45.000Z,Elayne Rentalll
"Gentlemen Don't Eat Poets (Grotesque, The)",firmware,1993,2020-05-05T00:33:48.000Z,Rodolphe Corragan
Bedazzled,artificial intelligence,2005,2020-05-25T03:37:30.000Z,Meryl Poluzzi
Amor?,matrix,1992,2020-04-21T15:21:02.000Z,Simmonds Ajam
She Wouldn't Say Yes,flexibility,1909,2020-04-28T21:20:00.000Z,Emelda Teese
"Return of the Magnificent Seven, The (a.k.a. Return of the Seven)",heuristic,1996,2020-04-24T11:32:29.000Z,Ilaire O'Halloran
The Voices,customer loyalty,1928,2020-04-02T04:52:15.000Z,Josh Luciani
"Dead Hate the Living!, The",Devolved,1972,2020-05-10T21:39:11.000Z,Enrika Brissard
Manhattan Melodrama,high-level,1905,2020-05-04T17:57:10.000Z,Marielle Skehens
Belle Starr,flexibility,2002,2020-04-30T06:14:13.000Z,Bowie Gianneschi
"Horseman, The",workforce,1973,2020-04-05T16:22:21.000Z,Pat Amer
Let the Fire Burn,optimal,2014,2020-04-14T17:48:07.000Z,Leora Illingsworth
Mountain Patrol (Kekexili),foreground,1941,2020-05-09T08:39:53.000Z,Faustina Ickowicz
"Grand Maneuver, The (Les grandes manoeuvres)",Adaptive,1923,2020-04-09T13:57:57.000Z,Jolene Flecknoe
Kissing Jessica Stein,background,2002,2020-05-03T22:00:16.000Z,Darbee Fee
